Sensore,Data,Temperatura
S11,2020-01-15,58
S12,2020-01-15,42
S13,2020-01-15,43
S14,2020-01-15,38
S15,2020-01-15,64
S1,2020-01-16,24
S2,2020-01-16,64
S3,2020-01-16,48
S4,2020-01-16,47
S5,2020-01-16,45
S6,2020-01-16,44
S7,2020-01-16,21
S8,2020-01-16,47
S9,2020-01-16,46
S10,2020-01-16,11
S11,2020-01-16,23
S12,2020-01-16,27
S13,2020-01-16,47
S14,2020-01-16,36
S15,2020-01-16,51
S1,2020-01-17,15
S2,2020-01-17,27
S3,2020-01-17,40
S4,2020-01-17,32
S5,2020-01-17,38
S6,2020-01-17,22
S7,2020-01-17,27
S8,2020-01-17,38
S9,2020-01-17,47
S10,2020-01-17,18
S11,2020-01-17,14
S12,2020-01-17,40
S13,2020-01-17,63
S14,2020-01-17,62
S15,2020-01-17,34
S1,2020-01-18,18
S2,2020-01-18,26
S3,2020-01-18,27
S4,2020-01-18,12
S5,2020-01-18,20
S6,2020-01-18,19
S7,2020-01-18,62
S8,2020-01-18,22
S9,2020-01-18,33
S10,2020-01-18,49
S11,2020-01-18,40
S12,2020-01-18,54
S13,2020-01-18,55
S14,2020-01-18,19
S15,2020-01-18,23
S1,2020-01-19,32
S2,2020-01-19,63
S3,2020-01-19,19
S4,2020-01-19,61
S5,2020-01-19,56
S6,2020-01-19,41
S7,2020-01-19,12
S8,2020-01-19,20
S9,2020-01-19,64
S10,2020-01-19,51
S11,2020-01-19,62
S12,2020-01-19,35
S13,2020-01-19,10
S14,2020-01-19,39
S15,2020-01-19,40
S1,2020-01-20,14
S2,2020-01-20,23
S3,2020-01-20,50
S4,2020-01-20,22
S5,2020-01-20,58
S6,2020-01-20,61
S7,2020-01-20,64
S8,2020-01-20,45
S9,2020-01-20,26
S10,2020-01-20,41
S11,2020-01-20,17
S12,2020-01-20,14
S13,2020-01-20,16
S14,2020-01-20,47
S15,2020-01-20,62
S1,2020-01-21,33
S2,2020-01-21,36
S3,2020-01-21,28
S4,2020-01-21,34
S5,2020-01-21,50
S6,2020-01-21,16
S7,2020-01-21,30
S8,2020-01-21,11
S9,2020-01-21,15
S10,2020-01-21,57
S11,2020-01-21,16
S12,2020-01-21,15
S13,2020-01-21,28
S14,2020-01-21,25
S15,2020-01-21,23
S1,2020-01-22,48
S2,2020-01-22,62
S3,2020-01-22,48
S4,2020-01-22,58
S5,2020-01-22,45
S6,2020-01-22,27
S7,2020-01-22,13
S8,2020-01-22,43
S9,2020-01-22,26
S10,2020-01-22,26
S11,2020-01-22,32
S12,2020-01-22,28
S13,2020-01-22,58
S14,2020-01-22,29
S15,2020-01-22,48
S1,2020-01-23,37
S2,2020-01-23,60
S3,2020-01-23,38
S4,2020-01-23,11
S5,2020-01-23,28
S6,2020-01-23,35
S7,2020-01-23,17
S8,2020-01-23,41
S9,2020-01-23,53
S10,2020-01-23,33
S11,2020-01-23,48
S12,2020-01-23,22
S13,2020-01-23,44
S14,2020-01-23,29
S15,2020-01-23,51
S1,2020-01-24,56
S2,2020-01-24,46
S3,2020-01-24,29
S4,2020-01-24,13
S5,2020-01-24,58
S6,2020-01-24,20
S7,2020-01-24,30
S8,2020-01-24,23
S9,2020-01-24,12
S10,2020-01-24,45
S11,2020-01-24,30
S12,2020-01-24,58
S13,2020-01-24,12
S14,2020-01-24,18
S15,2020-01-24,27
S1,2020-01-25,53
S2,2020-01-25,36
S3,2020-01-25,46
S4,2020-01-25,32
S5,2020-01-25,30
S6,2020-01-25,21
S7,2020-01-25,42
S8,2020-01-25,26
S9,2020-01-25,61
S10,2020-01-25,52
S11,2020-01-25,41
S12,2020-01-25,30
S13,2020-01-25,60
S14,2020-01-25,34
S15,2020-01-25,61
S1,2020-01-26,14
S2,2020-01-26,33
S3,2020-01-26,23
S4,2020-01-26,39
S5,2020-01-26,34
S6,2020-01-26,51
S7,2020-01-26,63
S8,2020-01-26,55
S9,2020-01-26,35
S10,2020-01-26,37
S11,2020-01-26,16
S12,2020-01-26,46
S13,2020-01-26,35
S14,2020-01-26,30
S15,2020-01-26,63
S1,2020-01-27,41
S2,2020-01-27,14
S3,2020-01-27,32
S4,2020-01-27,35
S5,2020-01-27,45
S6,2020-01-27,21
S7,2020-01-27,40
S8,2020-01-27,22
S9,2020-01-27,64
S10,2020-01-27,40
S11,2020-01-27,23
S12,2020-01-27,29
S13,2020-01-27,32
S14,2020-01-27,25
S15,2020-01-27,27
S1,2020-01-28,54
S2,2020-01-28,35
S3,2020-01-28,54
S4,2020-01-28,16
S5,2020-01-28,40
S6,2020-01-28,61
S7,2020-01-28,44
S8,2020-01-28,38
S9,2020-01-28,48
S10,2020-01-28,41
S11,2020-01-28,55
S12,2020-01-28,46
S13,2020-01-28,21
S14,2020-01-28,60
S15,2020-01-28,23
S1,2020-01-29,40
S2,2020-01-29,17
S3,2020-01-29,60
S4,2020-01-29,63
S5,2020-01-29,21
S6,2020-01-29,36
S7,2020-01-29,63
S8,2020-01-29,34
S9,2020-01-29,53
S10,2020-01-29,49
S11,2020-01-29,39
S12,2020-01-29,21
S13,2020-01-29,24
S14,2020-01-29,64
S15,2020-01-29,21
S1,2020-01-30,31
S2,2020-01-30,40
S3,2020-01-30,40
S4,2020-01-30,18
S5,2020-01-30,47
S6,2020-01-30,46
S7,2020-01-30,56
S8,2020-01-30,28
S9,2020-01-30,54
S10,2020-01-30,11
S11,2020-01-30,62
S12,2020-01-30,41
S13,2020-01-30,49
S14,2020-01-30,58
S15,2020-01-30,55
S1,2020-01-31,40
S2,2020-01-31,29
S3,2020-01-31,27
S4,2020-01-31,51
S5,2020-01-31,10
S6,2020-01-31,16
S7,2020-01-31,34
S8,2020-01-31,34
S9,2020-01-31,14
S10,2020-01-31,55
S11,2020-01-31,56
S12,2020-01-31,10
S13,2020-01-31,11
S14,2020-01-31,31
S15,2020-01-31,11
S1,2020-02-01,49
S2,2020-02-01,30
S3,2020-02-01,39
S4,2020-02-01,37
S5,2020-02-01,20
S6,2020-02-01,24
S7,2020-02-01,15
S8,2020-02-01,12
S9,2020-02-01,22
S10,2020-02-01,41
S11,2020-02-01,48
S12,2020-02-01,53
S13,2020-02-01,15
S14,2020-02-01,62
S15,2020-02-01,24
S1,2020-02-02,60
S2,2020-02-02,23
S3,2020-02-02,41
S4,2020-02-02,63
S5,2020-02-02,19
S6,2020-02-02,20
S7,2020-02-02,59
S8,2020-02-02,37
S9,2020-02-02,63
S10,2020-02-02,15
S11,2020-02-02,62
S12,2020-02-02,16
S13,2020-02-02,36
S14,2020-02-02,27
S15,2020-02-02,55
S1,2020-02-03,46
S2,2020-02-03,55
S3,2020-02-03,62
S4,2020-02-03,53
S5,2020-02-03,27
S6,2020-02-03,41
S7,2020-02-03,12
S8,2020-02-03,22
S9,2020-02-03,48
S10,2020-02-03,40
S11,2020-02-03,34
S12,2020-02-03,26
S13,2020-02-03,14
S14,2020-02-03,20
S15,2020-02-03,26
S1,2020-02-04,27
S2,2020-02-04,28
S3,2020-02-04,37
S4,2020-02-04,55
S5,2020-02-04,60
S6,2020-02-04,43
S7,2020-02-04,34
S8,2020-02-04,12
S9,2020-02-04,22
S10,2020-02-04,56
S11,2020-02-04,54
S12,2020-02-04,57
S13,2020-02-04,40
S14,2020-02-04,31
S15,2020-02-04,22
S1,2020-02-05,18
S2,2020-02-05,44
S3,2020-02-05,50
S4,2020-02-05,31
S5,2020-02-05,59
S6,2020-02-05,58
S7,2020-02-05,56
S8,2020-02-05,27
S9,2020-02-05,44
S10,2020-02-05,47
S11,2020-02-05,58
S12,2020-02-05,11
S13,2020-02-05,57
S14,2020-02-05,32
S15,2020-02-05,49
S1,2020-02-06,58
S2,2020-02-06,55
S3,2020-02-06,27
S4,2020-02-06,46
S5,2020-02-06,52
S6,2020-02-06,43
S7,2020-02-06,44
S8,2020-02-06,46
S9,2020-02-06,32
S10,2020-02-06,22
S11,2020-02-06,22
S12,2020-02-06,52
S13,2020-02-06,50
S14,2020-02-06,62
S15,2020-02-06,37
S1,2020-02-07,48
S2,2020-02-07,36
S3,2020-02-07,55
S4,2020-02-07,36
S5,2020-02-07,31
S6,2020-02-07,55
S7,2020-02-07,41
S8,2020-02-07,48
S9,2020-02-07,25
S10,2020-02-07,33
S11,2020-02-07,35
S12,2020-02-07,11
S13,2020-02-07,57
S14,2020-02-07,17
S15,2020-02-07,11
S1,2020-02-08,42
S2,2020-02-08,41
S3,2020-02-08,45
S4,2020-02-08,37
S5,2020-02-08,62
S6,2020-02-08,64
S7,2020-02-08,39
S8,2020-02-08,58
S9,2020-02-08,44
S10,2020-02-08,43
S11,2020-02-08,39
S12,2020-02-08,62
S13,2020-02-08,27
S14,2020-02-08,18
S15,2020-02-08,46
S1,2020-02-09,15
S2,2020-02-09,16
S3,2020-02-09,29
S4,2020-02-09,17
S5,2020-02-09,63
S6,2020-02-09,31
S7,2020-02-09,20
S8,2020-02-09,30
S9,2020-02-09,11
S10,2020-02-09,59
S11,2020-02-09,27
S12,2020-02-09,16
S13,2020-02-09,12
S14,2020-02-09,23
S15,2020-02-09,27
S1,2020-02-10,42
S2,2020-02-10,51
S3,2020-02-10,38
S4,2020-02-10,30
S5,2020-02-10,45
S6,2020-02-10,45
S7,2020-02-10,17
S8,2020-02-10,22
S9,2020-02-10,64
S10,2020-02-10,38
S11,2020-02-10,18
S12,2020-02-10,43
S13,2020-02-10,21
S14,2020-02-10,57
S15,2020-02-10,56
S1,2020-02-11,57
S2,2020-02-11,23
S3,2020-02-11,39
S4,2020-02-11,43
S5,2020-02-11,27
S6,2020-02-11,29
S7,2020-02-11,46
S8,2020-02-11,50
S9,2020-02-11,18
S10,2020-02-11,44
S11,2020-02-11,31
S12,2020-02-11,20
S13,2020-02-11,44
S14,2020-02-11,42
S15,2020-02-11,45
S1,2020-02-12,57
S2,2020-02-12,37
S3,2020-02-12,44
S4,2020-02-12,27
S5,2020-02-12,11
S6,2020-02-12,52
S7,2020-02-12,33
S8,2020-02-12,61
S9,2020-02-12,38
S10,2020-02-12,10
S11,2020-02-12,63
S12,2020-02-12,58
S13,2020-02-12,29
S14,2020-02-12,44
S15,2020-02-12,54
S1,2020-02-13,53
S2,2020-02-13,64
S3,2020-02-13,38
S4,2020-02-13,19
S5,2020-02-13,12
S6,2020-02-13,13
S7,2020-02-13,42
S8,2020-02-13,33
S9,2020-02-13,60
S10,2020-02-13,62
S11,2020-02-13,60
S12,2020-02-13,11
S13,2020-02-13,30
S14,2020-02-13,50
S15,2020-02-13,24
S1,2020-02-14,34
S2,2020-02-14,38
S3,2020-02-14,45
S4,2020-02-14,29
S5,2020-02-14,45
S6,2020-02-14,46
S7,2020-02-14,63
S8,2020-02-14,59
S9,2020-02-14,56
S10,2020-02-14,14
S11,2020-02-14,33
S12,2020-02-14,27
S13,2020-02-14,10
S14,2020-02-14,42
S15,2020-02-14,28
S1,2020-02-15,35
S2,2020-02-15,27
S3,2020-02-15,15
S4,2020-02-15,28
S5,2020-02-15,56
S6,2020-02-15,31
S7,2020-02-15,47
S8,2020-02-15,34
S9,2020-02-15,40
S10,2020-02-15,42
S11,2020-02-15,25
S12,2020-02-15,13
S13,2020-02-15,49
S14,2020-02-15,29
S15,2020-02-15,15
S1,2020-02-16,50
S2,2020-02-16,13
S3,2020-02-16,21
S4,2020-02-16,24
S5,2020-02-16,41
S6,2020-02-16,35
S7,2020-02-16,23
S8,2020-02-16,10
S9,2020-02-16,63
S10,2020-02-16,18
S11,2020-02-16,54
S12,2020-02-16,15
S13,2020-02-16,47
S14,2020-02-16,14
S15,2020-02-16,43
S1,2020-02-17,51
S2,2020-02-17,41
S3,2020-02-17,55
S4,2020-02-17,42
S5,2020-02-17,37
S6,2020-02-17,43
S7,2020-02-17,60
S8,2020-02-17,11
S9,2020-02-17,59
S10,2020-02-17,57
S11,2020-02-17,52
S12,2020-02-17,13
S13,2020-02-17,15
S14,2020-02-17,52
S15,2020-02-17,30
S1,2020-02-18,42
S2,2020-02-18,24
S3,2020-02-18,39
S4,2020-02-18,50
S5,2020-02-18,28
S6,2020-02-18,30
S7,2020-02-18,15
S8,2020-02-18,51
S9,2020-02-18,11
S10,2020-02-18,57
S11,2020-02-18,22
S12,2020-02-18,26
S13,2020-02-18,17
S14,2020-02-18,20
S15,2020-02-18,11
S1,2020-02-19,26
S2,2020-02-19,10
S3,2020-02-19,29
S4,2020-02-19,61
S5,2020-02-19,56
S6,2020-02-19,48
S7,2020-02-19,23
S8,2020-02-19,16
S9,2020-02-19,56
S10,2020-02-19,37
S11,2020-02-19,55
S12,2020-02-19,12
S13,2020-02-19,27
S14,2020-02-19,31
S15,2020-02-19,53
S1,2020-02-20,32
S2,2020-02-20,18
S3,2020-02-20,23
S4,2020-02-20,43
S5,2020-02-20,40
S6,2020-02-20,40
S7,2020-02-20,40
S8,2020-02-20,62
S9,2020-02-20,51
S10,2020-02-20,23
S11,2020-02-20,45
S12,2020-02-20,54
S13,2020-02-20,54
S14,2020-02-20,49
S15,2020-02-20,25
S1,2020-02-21,26
S2,2020-02-21,53
S3,2020-02-21,55
S4,2020-02-21,57
S5,2020-02-21,40
S6,2020-02-21,52
S7,2020-02-21,48
S8,2020-02-21,18
S9,2020-02-21,60
S10,2020-02-21,46
S11,2020-02-21,29
S12,2020-02-21,17
S13,2020-02-21,48
S14,2020-02-21,23
S15,2020-02-21,38
S1,2020-02-22,27
S2,2020-02-22,53
S3,2020-02-22,29
S4,2020-02-22,23
S5,2020-02-22,35
S6,2020-02-22,14
S7,2020-02-22,13
S8,2020-02-22,38
S9,2020-02-22,44
S10,2020-02-22,36
S11,2020-02-22,51
S12,2020-02-22,13
S13,2020-02-22,43
S14,2020-02-22,48
S15,2020-02-22,20
S1,2020-02-23,58
S2,2020-02-23,33
S3,2020-02-23,32
S4,2020-02-23,41
S5,2020-02-23,20
S6,2020-02-23,11
S7,2020-02-23,21
S8,2020-02-23,34
S9,2020-02-23,56
S10,2020-02-23,11
S11,2020-02-23,49
S12,2020-02-23,64
S13,2020-02-23,27
S14,2020-02-23,61
S15,2020-02-23,21
S1,2020-02-24,33
S2,2020-02-24,57
S3,2020-02-24,48
S4,2020-02-24,23
S5,2020-02-24,60
S6,2020-02-24,56
S7,2020-02-24,34
S8,2020-02-24,40
S9,2020-02-24,24
S10,2020-02-24,20
S11,2020-02-24,23
S12,2020-02-24,25
S13,2020-02-24,20
S14,2020-02-24,31
S15,2020-02-24,54
S1,2020-02-25,48
S2,2020-02-25,14
S3,2020-02-25,35
S4,2020-02-25,50
S5,2020-02-25,53
S6,2020-02-25,60
S7,2020-02-25,49
S8,2020-02-25,16
S9,2020-02-25,12
S10,2020-02-25,36
S11,2020-02-25,16
S12,2020-02-25,28
S13,2020-02-25,38
S14,2020-02-25,21
S15,2020-02-25,50
S1,2020-02-26,14
S2,2020-02-26,51
S3,2020-02-26,41
S4,2020-02-26,33
S5,2020-02-26,13
S6,2020-02-26,59
S7,2020-02-26,29
S8,2020-02-26,30
S9,2020-02-26,52
S10,2020-02-26,29
S11,2020-02-26,33
S12,2020-02-26,58
S13,2020-02-26,18
S14,2020-02-26,30
S15,2020-02-26,62
S1,2020-02-27,51
S2,2020-02-27,10
S3,2020-02-27,13
S4,2020-02-27,11
S5,2020-02-27,27
S6,2020-02-27,44
S7,2020-02-27,39
S8,2020-02-27,42
S9,2020-02-27,18
S10,2020-02-27,25
S11,2020-02-27,48
S12,2020-02-27,50
S13,2020-02-27,46
S14,2020-02-27,51
S15,2020-02-27,54
S1,2020-02-28,38
S2,2020-02-28,61
S3,2020-02-28,29
S4,2020-02-28,38
S5,2020-02-28,16
S6,2020-02-28,36
S7,2020-02-28,48
S8,2020-02-28,52
S9,2020-02-28,28
S10,2020-02-28,60
S11,2020-02-28,29
S12,2020-02-28,49
S13,2020-02-28,47
S14,2020-02-28,30
S15,2020-02-28,29
S1,2020-02-29,12
S2,2020-02-29,41
S3,2020-02-29,50
S4,2020-02-29,15
S5,2020-02-29,50
S6,2020-02-29,15
S7,2020-02-29,25
S8,2020-02-29,37
S9,2020-02-29,59
S10,2020-02-29,15
S11,2020-02-29,39
S12,2020-02-29,19
S13,2020-02-29,33
S14,2020-02-29,18
S15,2020-02-29,29
S1,2020-03-01,18
S2,2020-03-01,48
S3,2020-03-01,43
S4,2020-03-01,63
S5,2020-03-01,56
S6,2020-03-01,37
S7,2020-03-01,38
S8,2020-03-01,45
S9,2020-03-01,24
S10,2020-03-01,35
S11,2020-03-01,12
S12,2020-03-01,23
S13,2020-03-01,50
S14,2020-03-01,15
S15,2020-03-01,62
S1,2020-03-02,60
S2,2020-03-02,57
S3,2020-03-02,21
S4,2020-03-02,54
S5,2020-03-02,22
S6,2020-03-02,17
S7,2020-03-02,64
S8,2020-03-02,40
S9,2020-03-02,10
S10,2020-03-02,48
S11,2020-03-02,22
S12,2020-03-02,33
S13,2020-03-02,35
S14,2020-03-02,32
S15,2020-03-02,41
S1,2020-03-03,27
S2,2020-03-03,25
S3,2020-03-03,43
S4,2020-03-03,63
S5,2020-03-03,52
S6,2020-03-03,46
S7,2020-03-03,16
S8,2020-03-03,49
S9,2020-03-03,39
S10,2020-03-03,56
S11,2020-03-03,38
S12,2020-03-03,61
S13,2020-03-03,36
S14,2020-03-03,44
S15,2020-03-03,47
S1,2020-03-04,57
S2,2020-03-04,39
S3,2020-03-04,31
S4,2020-03-04,61
S5,2020-03-04,20
S6,2020-03-04,47
S7,2020-03-04,63
S8,2020-03-04,43
S9,2020-03-04,60
S10,2020-03-04,22
S11,2020-03-04,19
S12,2020-03-04,17
S13,2020-03-04,42
S14,2020-03-04,24
S15,2020-03-04,43
S1,2020-03-05,14
S2,2020-03-05,13
S3,2020-03-05,22
S4,2020-03-05,48
S5,2020-03-05,18
S6,2020-03-05,52
S7,2020-03-05,44
S8,2020-03-05,52
S9,2020-03-05,28
S10,2020-03-05,26
S11,2020-03-05,53
S12,2020-03-05,17
S13,2020-03-05,46
S14,2020-03-05,63
S15,2020-03-05,49
S1,2020-03-06,20
S2,2020-03-06,38
S3,2020-03-06,60
S4,2020-03-06,28
S5,2020-03-06,55
S6,2020-03-06,48
S7,2020-03-06,11
S8,2020-03-06,38
S9,2020-03-06,22
S10,2020-03-06,58
S11,2020-03-06,28
S12,2020-03-06,46
S13,2020-03-06,48
S14,2020-03-06,50
S15,2020-03-06,42
S1,2020-03-07,38
S2,2020-03-07,38
S3,2020-03-07,34
S4,2020-03-07,61
S5,2020-03-07,52
S6,2020-03-07,35
S7,2020-03-07,48
S8,2020-03-07,52
S9,2020-03-07,36
S10,2020-03-07,59
S11,2020-03-07,23
S12,2020-03-07,51
S13,2020-03-07,12
S14,2020-03-07,44
S15,2020-03-07,31
S1,2020-03-08,40
S2,2020-03-08,27
S3,2020-03-08,45
S4,2020-03-08,21
S5,2020-03-08,11
S6,2020-03-08,45
S7,2020-03-08,22
S8,2020-03-08,24
S9,2020-03-08,34
S10,2020-03-08,59
S11,2020-03-08,12
S12,2020-03-08,39
S13,2020-03-08,10
S14,2020-03-08,54
S15,2020-03-08,54
S1,2020-03-09,15
S2,2020-03-09,61
S3,2020-03-09,12
S4,2020-03-09,50
S5,2020-03-09,52
S6,2020-03-09,25
S7,2020-03-09,48
S8,2020-03-09,49
S9,2020-03-09,20
S10,2020-03-09,23
S11,2020-03-09,37
S12,2020-03-09,50
S13,2020-03-09,34
S14,2020-03-09,33
S15,2020-03-09,42
S1,2020-03-10,61
S2,2020-03-10,63
S3,2020-03-10,59
S4,2020-03-10,55
S5,2020-03-10,28
S6,2020-03-10,11
S7,2020-03-10,11
S8,2020-03-10,37
S9,2020-03-10,48
S10,2020-03-10,62
S11,2020-03-10,26
S12,2020-03-10,24
S13,2020-03-10,10
S14,2020-03-10,11
S15,2020-03-10,49
S1,2020-03-11,60
S2,2020-03-11,48
S3,2020-03-11,63
S4,2020-03-11,46
S5,2020-03-11,54
S6,2020-03-11,27
S7,2020-03-11,49
S8,2020-03-11,27
S9,2020-03-11,56
S10,2020-03-11,16
S11,2020-03-11,56
S12,2020-03-11,42
S13,2020-03-11,34
S14,2020-03-11,62
S15,2020-03-11,39
S1,2020-03-12,60
S2,2020-03-12,52
S3,2020-03-12,55
S4,2020-03-12,56
S5,2020-03-12,63
S6,2020-03-12,13
S7,2020-03-12,45
S8,2020-03-12,19
S9,2020-03-12,36
S10,2020-03-12,53
S11,2020-03-12,14
S12,2020-03-12,33
S13,2020-03-12,29
S14,2020-03-12,53
S15,2020-03-12,36
S1,2020-03-13,11
S2,2020-03-13,47
S3,2020-03-13,47
S4,2020-03-13,35
S5,2020-03-13,28
S6,2020-03-13,54
S7,2020-03-13,52
S8,2020-03-13,52
S9,2020-03-13,44
S10,2020-03-13,25
S11,2020-03-13,21
S12,2020-03-13,46
S13,2020-03-13,12
S14,2020-03-13,49
S15,2020-03-13,36
S1,2020-03-14,33
S2,2020-03-14,41
S3,2020-03-14,39
S4,2020-03-14,18
S5,2020-03-14,11
S6,2020-03-14,38
S7,2020-03-14,33
S8,2020-03-14,18
S9,2020-03-14,13
S10,2020-03-14,46
S11,2020-03-14,25
S12,2020-03-14,38
S13,2020-03-14,36
S14,2020-03-14,58
S15,2020-03-14,49
S1,2020-03-15,58
S2,2020-03-15,30
S3,2020-03-15,38
S4,2020-03-15,30
S5,2020-03-15,15
S6,2020-03-15,19
S7,2020-03-15,59
S8,2020-03-15,63
S9,2020-03-15,43
S10,2020-03-15,50
S11,2020-03-15,18
S12,2020-03-15,10
S13,2020-03-15,21
S14,2020-03-15,41
S15,2020-03-15,51
S1,2020-03-16,31
S2,2020-03-16,42
S3,2020-03-16,35
S4,2020-03-16,10
S5,2020-03-16,29
S6,2020-03-16,37
S7,2020-03-16,58
S8,2020-03-16,20
S9,2020-03-16,51
S10,2020-03-16,62
S11,2020-03-16,42
S12,2020-03-16,38
S13,2020-03-16,44
S14,2020-03-16,54
S15,2020-03-16,13
S1,2020-03-17,25
S2,2020-03-17,25
S3,2020-03-17,58
S4,2020-03-17,59
S5,2020-03-17,32
S6,2020-03-17,56
S7,2020-03-17,18
S8,2020-03-17,47
S9,2020-03-17,43
S10,2020-03-17,27
S11,2020-03-17,39
S12,2020-03-17,43
S13,2020-03-17,61
S14,2020-03-17,32
S15,2020-03-17,58
S1,2020-03-18,38
S2,2020-03-18,21
S3,2020-03-18,42
S4,2020-03-18,26
S5,2020-03-18,24
S6,2020-03-18,47
S7,2020-03-18,12
S8,2020-03-18,36
S9,2020-03-18,39
